date,temp_max,temp_min,temp_mean,humidity_max,humidity_min,precipitation,wind_speed_max,wind_direction,pressure_mean,cloud_cover,evapotranspiration
2011-04-16,35.676502,24.126501,29.570253,84.65162,33.78407,0.0,8.049845,196.16455,973.42596,41.25,5.6983485
2011-04-17,36.2765,25.0765,30.220253,78.267845,32.752842,0.0,9.47012,263.69464,973.3636,23.041666,5.5531836
2011-04-18,36.2265,24.9265,29.7015,81.929115,30.063295,0.0,13.084402,294.28308,972.22687,40.541668,5.3699875
2011-04-19,29.1765,24.126501,26.432753,90.51667,65.21272,9.8,13.392774,140.31992,973.45636,83.375,3.2459173
2011-04-20,31.0765,22.9265,25.955667,94.976555,55.340477,1.0000001,7.754637,147.34306,975.1926,48.125,3.7270608
2011-04-21,32.0265,24.1765,27.711914,87.82019,52.432888,0.5,4.5536795,119.638275,974.76776,33.166668,4.3421483
2011-04-22,33.3765,24.5265,28.920248,88.385124,47.790066,0.0,5.506941,287.9425,973.6696,34.541668,4.877815
2011-04-23,29.5765,24.376501,26.701506,90.533585,63.563572,4.6999993,12.031756,127.42541,973.87714,63.291668,3.6441257
2011-04-24,28.376501,22.626501,25.007753,97.59799,66.44611,5.4999995,8.587338,135.66357,975.5303,94.666664,2.5294585
2011-04-25,29.226501,21.8265,24.845251,96.695656,64.03968,2.4999998,5.95906,345.9637,976.0374,96.041664,3.242484
2011-04-26,30.6765,21.5765,25.30567,98.78304,54.23044,2.0,9.449572,320.66367,975.08075,88.708336,3.6920547
2011-04-27,30.476501,22.7765,25.607748,99.094246,53.51462,0.4,9.931042,331.3505,973.59296,93.083336,3.770962
2011-04-28,30.126501,22.876501,25.859833,90.78543,55.450283,3.1,6.439876,345.65057,972.581,80.958336,3.4826272
2011-04-29,29.976501,22.0265,25.447336,99.0905,58.038113,0.0,8.225035,247.41614,973.19995,80.416664,3.620361
2011-04-30,31.0265,23.7765,26.149414,90.49631,57.050774,0.3,5.4119864,179.30128,974.778,85.791664,3.3767543
2011-05-01,27.0265,22.9265,24.620253,99.098656,73.68239,7.5,6.28713,148.55724,975.30493,94.875,1.6682613
2011-05-02,32.0265,23.0265,26.57025,97.01539,54.052254,4.2,6.519877,171.9456,973.6863,63.583332,4.805263
2011-05-03,30.7765,23.1765,25.753584,97.328156,60.03019,6.1000004,6.519877,162.89722,972.8901,91.291664,3.3101745
2011-05-04,29.476501,22.376501,25.845251,100.0,66.46604,0.1,7.289444,268.69812,973.2742,92.333336,3.1606529
2011-05-05,29.4265,22.5765,25.947334,98.49217,65.811714,0.2,8.78872,166.95433,973.67706,81.416664,3.5383925
2011-05-06,30.5265,22.7765,26.226503,95.839005,59.24507,0.0,6.9153743,205.72556,973.22577,58.708332,3.8317358
2011-05-07,32.0265,23.1765,26.986917,95.56563,56.595577,0.2,9.885262,170.95427,971.6194,42.375,4.599601
2011-05-08,31.726501,23.9265,27.009832,95.29179,56.0091,0.3,9.885262,156.11351,969.84937,73.458336,4.109961
2011-05-09,27.7765,23.4265,25.428589,96.74659,73.799835,10.300001,11.592894,128.82983,968.9981,88.041664,2.4015424
2011-05-10,28.626501,23.626501,25.022337,99.10134,78.77115,99.4,5.0142193,157.19026,969.10004,97.625,1.6572402
2011-05-11,31.7765,23.0265,27.236917,99.09696,59.32901,0.0,7.145796,206.84045,969.8987,72.916664,4.7811303
2011-05-12,33.1265,24.0765,28.2015,94.72292,54.66533,0.0,8.287822,204.32558,970.43866,77.541664,5.249348
2011-05-13,31.0765,24.6765,27.87858,94.17735,67.40037,1.2,8.714677,149.27379,970.95087,86.5,4.383899
2011-05-14,29.8265,23.3265,25.874418,98.203094,71.48573,14.0,7.8954163,117.987366,972.6833,91.083336,3.5125027
2011-05-15,26.126501,22.7765,24.241083,98.197044,85.56277,5.0,7.24486,104.6209,975.50995,98.0,1.6832274
2011-05-16,28.5765,22.726501,25.047335,97.30429,76.89872,2.1,5.1165614,97.24439,977.2719,97.958336,3.1053023
2011-05-17,27.5265,22.7765,24.588999,99.09559,77.43954,8.1,5.495161,41.423584,976.20557,97.208336,2.4263
2011-05-18,28.3265,22.2765,24.782751,99.39626,72.96851,4.2999997,5.8603754,179.54164,973.7028,97.125,3.231654
2011-05-19,27.8265,22.2765,24.620249,97.88993,76.546814,4.2999997,6.0347,144.246,972.5305,95.583336,2.5303133
2011-05-20,29.6765,22.8265,25.668169,96.7152,67.531296,1.8,10.787993,183.08566,971.188,97.166664,3.6797733
2011-05-21,30.476501,23.126501,26.441086,91.04245,63.52976,0.1,10.703569,197.80934,970.9427,97.541664,4.324054
2011-05-22,31.6765,23.4265,27.27442,89.91795,56.072018,0.0,8.557102,206.31801,971.4279,94.458336,4.60914
2011-05-23,32.7765,23.726501,28.105667,91.87743,54.579906,0.1,7.42159,208.08488,970.95483,87.833336,5.283018
2011-05-24,31.5765,24.3265,27.82025,91.694275,61.685593,0.0,7.289444,193.87239,970.68646,91.791664,4.4036264
